model,base_model,loss,early_stopping,strategy,params,best_epoch,epochs_trained,best_val_loss,final_val_loss,final_val_acc,final_test_loss,final_test_acc
Linear (CE),Linear,CE,False,CE,7850,21,30,0.8065848097801208,0.823060688495636,83.15,0.8363141607284545,82.05
Linear (CE+ES),Linear,CE,True,CE+ES,7850,5,10,0.8388402228355407,0.8388402228355407,81.66666666666667,0.8458827573776245,81.28999999999999
Linear (GCE),Linear,GCE,False,GCE,7850,5,30,0.5971113572120667,0.6833387943903605,85.38333333333334,0.7086848813056946,84.7
Linear (GCE+ES),Linear,GCE,True,GCE+ES,7850,5,10,0.5971113572120667,0.5971113572120667,82.95,0.6153224685668945,82.91
MLP (CE),MLP,CE,False,CE,235146,10,30,0.6060817540486654,0.687353098710378,85.41666666666666,0.7143067409515381,84.61
MLP (CE+ES),MLP,CE,True,CE+ES,235146,10,15,0.6060817540486654,0.6060817540486654,87.55,0.6287084156036377,86.94
MLP (GCE),MLP,GCE,False,GCE,235146,12,30,0.7086581981182098,0.9063110709190368,88.3,0.9721911607980728,88.01
MLP (GCE+ES),MLP,GCE,True,GCE+ES,235146,2,7,0.7478324405352275,0.7478324405352275,83.65,0.7801098345756531,83.17
CNN-SPP (CE),CNN-SPP,CE,False,CE,32266,18,30,0.6117628785769145,0.6377135030428569,89.55,0.6521915781021118,88.38000000000001
CNN-SPP (CE+ES),CNN-SPP,CE,True,CE+ES,32266,18,23,0.6117628785769145,0.6117628785769145,89.46666666666667,0.6240241995811462,89.18
CNN-SPP (GCE),CNN-SPP,GCE,False,GCE,32266,13,30,0.4563671392599742,0.5438568072319031,90.38333333333334,0.5853127233505249,89.88000000000001
CNN-SPP (GCE+ES),CNN-SPP,GCE,True,GCE+ES,32266,3,8,0.4808861277103424,0.4808861277103424,87.15,0.5202112422943115,86.53
SE-CNN-SPP (CE),SE-CNN-SPP,CE,False,CE,33362,15,30,0.5865220103263855,0.6321058112780253,88.58333333333334,0.6323551020622253,87.92999999999999
SE-CNN-SPP (CE+ES),SE-CNN-SPP,CE,True,CE+ES,33362,5,10,0.6336021235783895,0.6336021235783895,88.55,0.6472115963935852,87.75
SE-CNN-SPP (GCE),SE-CNN-SPP,GCE,False,GCE,33362,11,30,0.47129337445894876,0.6014911175568899,90.8,0.6544045562744141,90.25999999999999
SE-CNN-SPP (GCE+ES),SE-CNN-SPP,GCE,True,GCE+ES,33362,11,16,0.47129337445894876,0.47129337445894876,90.14999999999999,0.5376330229759216,89.32
